subject_id,condition,goal_percent,side,ml_outward_peak_5_25,ap_braking_peak_5_25,ap_propulsion_peak_35_60,vertical_impact_peak_0_15,vertical_loading_slope_nbw_per_pct_0_15,vertical_first_peak_5_25,vertical_first_peak_timing_pct_5_25,vertical_midstance_minimum_20_40,vertical_second_peak_35_55,vertical_second_peak_timing_pct_35_55
12,MTR80,80,R,0.1143694898850275,-0.3062068531879713,0.3091293043716845,1.4469923836362792,0.1808361831027277,1.4469923836362792,14.0,0.4293240954988372,1.033873233850847,49.0
13,Baseline,0,L,0.1060688498786642,-0.1603219400284604,0.1887542252070448,1.163535632474245,0.1523519280550002,1.164734536144683,16.0,0.8360533469731567,1.0637487164476245,46.0
13,Baseline,0,R,0.1127758214165549,-0.2023645386180949,0.1699798346483399,1.2037238796194132,0.1303083479544102,1.2037238796194132,15.0,0.8550916247860709,1.0831340021857296,48.0
13,MTR20,20,L,0.1347616550255333,-0.2472677703247529,0.1732375955251689,1.3519976474260655,0.2369437292539745,1.3519976474260655,13.0,0.761630260876613,1.043305034105888,45.0
13,MTR20,20,R,0.1330113038466486,-0.220297318223244,0.2546554324467322,1.4314330553231946,0.1836990805852051,1.4314330553231946,14.0,0.6851054746763219,1.098892504978917,49.0
13,MTR40,40,L,0.1379724549804384,-0.2732418720775768,0.1865250052641591,1.3990316751793077,0.2291819102152925,1.3990316751793077,12.0,0.6847378561897495,1.0428393237950468,45.0
13,MTR40,40,R,0.1146336518659944,-0.2215017548486342,0.2690089921349559,1.4195018199798135,0.1890633691441309,1.4195018199798135,14.0,0.7023381416574302,1.1352416813641046,48.0
13,MTR60,60,L,0.1444682523395367,-0.3030709207463067,0.2387655077247498,1.5243696544626462,0.2712093086310951,1.5243696544626462,13.0,0.5690311841070118,1.0291221762005067,46.0
13,MTR60,60,R,0.1359905592787854,-0.2977959768392726,0.3261136143503091,1.6376200917186017,0.2510094566062465,1.6376200917186017,14.0,0.5069010698327043,1.1746610393887396,48.0
13,MTR80,80,L,0.1417370410990579,-0.3172278908253254,0.2654627748337138,1.5492465534731397,0.3001465859370167,1.5492465534731397,12.0,0.5727527156659562,1.0791047741359627,46.0
13,MTR80,80,R,0.1389783267304569,-0.3222649670219908,0.326814118214969,1.6412565645507158,0.2620523294201962,1.6412565645507158,13.0,0.4935262507025774,1.1553290175074264,48.0
14,Baseline,0,L,0.0471419337092425,-0.1408151406774331,0.1330856725878087,0.9476450825676818,0.0988932468258106,0.9838103687435034,18.0,0.8762524352244024,1.0201333278209743,49.0
14,Baseline,0,R,0.0557906800416561,-0.1291194472660874,0.1353015467730238,0.9149535376733952,0.1003937383400247,0.9657911314627776,19.0,0.8968779452246329,1.0601639702273649,50.0
